Gaze Data: (1936.7, 639.3) timestamp 344379849 ms
Gaze Data: (1908.6, 632.3) timestamp 344379866 ms
Gaze Data: (1914.7, 632.1) timestamp 344379883 ms
Gaze Data: (1907.4, 624.2) timestamp 344379894 ms
Gaze Data: (1890.0, 604.6) timestamp 344379929 ms
Gaze Data: (1856.6, 581.3) timestamp 344379941 ms
Gaze Data: (1845.0, 570.3) timestamp 344379957 ms
Gaze Data: (1837.4, 562.7) timestamp 344379971 ms
Gaze Data: (1838.0, 554.5) timestamp 344379984 ms
Gaze Data: (1837.2, 553.4) timestamp 344380001 ms
Gaze Data: (1834.8, 556.2) timestamp 344380016 ms
Gaze Data: (1844.5, 571.1) timestamp 344380029 ms
Gaze Data: (1845.2, 570.6) timestamp 344380046 ms
Gaze Data: (1831.3, 566.1) timestamp 344380075 ms
Gaze Data: (1829.1, 567.8) timestamp 344380091 ms
Gaze Data: (1828.8, 567.7) timestamp 344380106 ms
Gaze Data: (1827.8, 566.0) timestamp 344380119 ms
